C2,3.0339E-06,0.000,399.3,1.7854E+04,1.3486E-02,26.81,8.8012E-05,371.9,291.9,1.0354E+04,0.4317,
C2,8.5669E-06,0.000,404.2,1.7854E+04,3.1922E-02,26.81,8.5263E-05,371.9,288.9,1.0354E+04,0.4296,
C2,1.0000E-05,0.000,405.5,1.7854E+04,3.5878E-02,26.81,8.4565E-05,371.9,288.1,1.0354E+04,0.4292,
C2,2.7735E-05,0.000,421.2,1.7854E+04,7.0137E-02,26.81,7.6396E-05,371.9,278.6,1.0354E+04,0.4264,
C2,7.6226E-05,0.000,464.0,1.7854E+04,0.1101,26.81,5.8013E-05,371.9,252.6,1.0354E+04,0.4239,
C2,1.0000E-04,0.000,485.0,1.7855E+04,0.1184,26.81,5.0723E-05,371.9,239.8,1.0354E+04,0.4234,
C2,2.8929E-04,0.000,652.2,1.7855E+04,0.1052,26.81,1.6244E-05,371.9,138.4,1.0354E+04,0.4223,
C2,5.0485E-04,0.000,842.6,1.7855E+04,2.5721E-02,26.81,1.3662E-06,371.9,24.21,1.0354E+04,0.4231,
C2,5.0486E-04,0.000,842.6,1.7855E+04,2.5731E-02,26.81,1.3682E-06,371.9,24.20,1.0354E+04,0.4241,
C2,5.1578E-04,0.000,852.3,1.7855E+04,3.0967E-02,26.81,3.7016E-06,371.9,16.91,1.0354E+04,2.642,
C2,5.4731E-04,0.000,880.1,1.7855E+04,5.9055E-03,26.81,8.7507E-07,371.9,1.608,1.0354E+04,15.32,
C2,5.6543E-04,0.000,884.2,1.7855E+04,4.0157E-03,26.81,3.5767E-07,371.9,0.9450,1.0354E+04,11.00,
C2,7.7387E-04,0.000,884.1,1.7855E+04,5.4619E-03,26.81,3.6306E-07,371.9,0.9354,1.0354E+04,11.19,
C2,1.0000E-03,0.000,884.1,1.7855E+04,7.0238E-03,26.81,3.6906E-07,371.9,0.9249,1.0354E+04,11.41,
C2,2.9491E-03,0.000,884.1,1.7855E+04,2.0022E-02,26.81,4.2711E-07,371.9,0.8395,1.0354E+04,13.52,
C2,3.1794E-03,0.000,884.1,1.7855E+04,2.1471E-02,26.81,4.3458E-07,371.9,0.8302,1.0354E+04,13.79,
C2,3.7934E-03,0.000,884.2,1.7855E+04,2.3842E-02,26.81,4.4360E-07,371.9,0.8208,1.0354E+04,14.10,
C2,9.5462E-03,0.000,884.8,1.7855E+04,3.9706E-02,26.81,5.1092E-07,371.8,0.7624,1.0352E+04,16.42,
C2,1.0000E-02,0.000,884.9,1.7855E+04,4.0712E-02,26.81,5.1569E-07,371.8,0.7589,1.0352E+04,16.59,
C2,1.1852E-02,0.000,885.1,1.7854E+04,4.4624E-02,26.81,5.3491E-07,371.8,0.7453,1.0351E+04,17.24,
C2,1.4943E-02,0.000,885.2,1.7855E+04,5.2782E-02,26.81,6.8584E-07,371.8,0.6331,1.0351E+04,22.99,
C2,4.7008E-02,0.000,890.8,1.7866E+04,7.2285E-02,26.81,1.0568E-06,371.8,0.5047,1.0351E+04,36.80,
C2,0.1000,0.000,901.7,1.7885E+04,7.7553E-02,26.80,1.1434E-06,371.8,0.4921,1.0350E+04,40.12,
